permno date
76695 2011-11-11
15024 2015-11-19
85933 2004-04-28
86786 2007-05-24
13316 2013-05-29
84075 2004-08-03
12169 2005-11-30
14167 2014-01-07
14441 2019-03-07
91364 2006-09-20
92497 2016-03-07
80560 2014-11-03
14426 2015-05-20
91514 2012-04-30
78083 2004-09-15
90613 2006-11-13
15003 2015-09-30
89769 2005-10-10
11216 2005-01-26
90699 2011-05-09
80560 2006-03-29
83161 2008-06-10
11481 2012-05-08
54181 2007-05-01
14719 2015-07-06
14834 2015-06-18
92483 2008-07-10
37807 2017-04-11
17046 2018-06-29
23085 2016-04-28
91514 2010-07-23
80185 2017-08-23
14426 2018-10-25
